codigo,descricao,cd_mun
356,NOSSA SENHORA DE NAZARE,2206753
357,RECURSOLANDIA,1718501
358,NOVO SANTO ANTONIO,2206951
359,RIO DOS BOIS,1718709
360,OLHO D'AGUA DO PIAUI,2207108
361,SANTA MARIA DO TOCANTINS,1718881
362,PAJEU DO PIAUI,2207355
363,SAO FELIX DO TOCANTINS,1720150
364,PAQUETA,2207553
365,TUPIRATINS,1721307
366,PAVUSSU,2207850
367,LAGOA DA CONFUSAO,1711902
368,PEDRO LAURENTINO,2207934
369,SANTA BARBARA DO PARA,1506351
370,NOVA SANTA RITA,2207959
371,SANTA LUZIA DO PARA,1506559
372,PORTO ALEGRE DO PIAUI,2208551
373,TERRA ALTA,1507961
374,RIACHO FRIO,2208858
375,ABEL FIGUEIREDO,1500131
376,RIBEIRA DO PIAUI,2208874
377,ELDORADO DOS CARAJAS,1502954
378,SANTO ANTONIO DOS MILAGRES,2209450
379,PALESTINA DO PARA,1505494
380,SAO FRANCISCO DE ASSIS DO PIAUI,2209658
381,SAO DOMINGOS DO ARAGUAIA,1507151
382,SAO GONCALO DO GURGUEIA,2209757
383,AGUA AZUL DO NORTE,1500347
384,SAO JOAO DA FRONTEIRA,2209872
385,CUMARU DO NORTE,1502764
386,SAO JOAO DA VARJOTA,2209955
387,PAU D'ARCO,1505551
388,SAO JOAO DO ARRAIAL,2209971
389,AURORA DO PARA,1500958
390,SAO LUIS DO PIAUI,2210375
391,NOVA ESPERANCA DO PIRIA,1504950
392,SAO MIGUEL DA BAIXA GRANDE,2210383
393,SAO JOAO DE PIRABAS,1507474
394,SAO MIGUEL DO FIDALGO,2210391
395,TAILANDIA,1507953
396,SEBASTIAO BARROS,2210623
397,TUCUMA,1508084
398,SEBASTIAO LEAL,2210631
399,URUARA,1508159
400,SUSSUAPARA,2210938
401,ABAETETUBA,1500107
402,TAMBORIL DO PIAUI,2210953
403,ACARA,1500206
404,TANQUE DO PIAUI,2210979
405,AFUA,1500305
406,VERA MENDES,2211506
407,ALENQUER,1500404
408,VILA NOVA DO PIAUI,2211605
409,ALMEIRIM,1500503
410,WALL FERRAZ,2211704
411,ALTAMIRA,1500602
412,BODO,2401651
413,ANAJAS,1500701
414,CAICARA DO NORTE,2401859
415,ANANINDEUA,1500800
416,FERNANDO PEDROZA,2403756
417,AUGUSTO CORREA,1500909
418,ITAJA,2404853
419,AVEIRO,1501006
420,MAJOR SALES,2407252
421,BAGRE,1501105
422,RIO DO FOGO,2408953
423,BAIAO,1501204
424,SANTA MARIA,2409332
425,BARCARENA,1501303
426,PORTO DO MANGUE,2410256
427,BELEM,1501402
428,TIBAU,2411056
429,BENEVIDES,1501501
430,SAO MIGUEL DO GOSTOSO,2412559
431,BONITO,1501600
432,SERRINHA DOS PINTOS,2413557
433,BRAGANCA,1501709
434,TENENTE LAURENTINO CRUZ,2414159
435,BREVES,1501808
436,TRIUNFO POTIGUAR,2414456
437,BUJARU,1501907
438,VENHA-VER,2414753
439,CACHOEIRA DO ARARI,1502004
440,ALCANTIL,2500536
441,CAMETA,1502103
442,ALGODAO DE JANDAIRA,2500577
443,CAPANEMA,1502202
